"Source:","J:\Dropbox\Dropbox\Lab Projects\BMS Board\Rev3\BMS Module\BMS Module.sch"
"Date:","12/21/2019 11:35:19 AM"
"Tool:","Eeschema (5.0.1)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status","digikey"
"","","C1","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","C2","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","C3","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","C4","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","D1","FSV340FP","Device:D_Schottky","Diode_SMD:D_SOD-123","~","","","","","","","","","","FSV340FPCT-ND"
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Castellated","~","","","","","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Castellated","~","","","","","","","","","",""
"","","J1","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","J2","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J3","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","J4","USB_B_Micro","Connector:USB_B_Micro","digikey-footprints:USB_Micro_B_Female_10118192","~","","","","","","","","","","609-4613-1-ND"
"","","J5","AVR-ISP-6","Connector:AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~","","","","","","","","","",""
"","","J6","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","J7","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J8","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","L1","3.3u","Device:L","Custom Footprints:ASPI-0630HI-3R3N-T15","~","","","","","","","","","","ASPI-0630HI-3R3M-T15CT-ND"
"","","R1","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R2","3.3k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R3","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R4","50m","Device:R","Resistor_SMD:R_2512_6332Metric","~","","","","","","","","","","YAG2156CT-ND"
"","","R5","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
